"Фамилия";"Guichir1"
"Имя";"Rugiya2"
"Отчество";"string"
"Номер телефона";="996505103609"
"Email";="guichirr65128@gmail.com"
"Дата рождения";"10.10.2000"
"Пол";"М"
"Адрес";""
"Дети";"Нет"
"Дата регистрации в приложении";"19.12.2023"
"Источник регистрации";"CRM"
"Всего заказов";0
"Накопленные бонусы";0.00
"Потраченные бонусы";0.00
"Количество бонусов";0.00
"Всего потрачено (рубли)";0.00
"Средний чек";0
"Последний заказ";""
"Последнее посещение";""
"Размер скидки";""
"В черном списке";"Нет"





"Номер заказа";"Тип заказа";"Время заказа";"Ресторан";"Количество блюд";"Тип оплаты";"Сумма";"Баллов списано";"Баллов начислено";"Размер скидки";"Итого к оплате"
